id,depth,mean,sd,skew,sand,silt,clay
A-1,49.4,6.9,2,0.18,10.5,55.4,34.1
A-2,60.1,7.1,2.8,0.25,11.4,52.7,35.9
A-3,16.2,NA,NA,NA,NA,NA,NA
A-4,47,5.8,2.8,0.14,31.9,45.1,23
A-5,33.6,5.3,2.9,0.24,38.2,43.1,18.7
A-6,10.4,3.5,0.7,0.03,77.5,19.5,3
A-7,22.4,3.6,1.9,0.18,65.7,27.8,6.5
A-8,18.7,4.5,1.9,0.41,53.4,36.8,9.8
A-9,16.3,3.8,1.5,0.33,66.5,32.2,1.3
A-10,12.8,4.5,2.1,0.52,50.7,36.1,13.2
A-11,11.7,3.5,1.1,0,71.9,24.9,3.2
A-12,13,4.5,2.1,0.29,52.2,40.9,6.6
A-13,0.8,NA,NA,NA,NA,NA,NA
B-1,73.6,7.5,2.5,0.04,7.4,51.6,40.9
B-2,42.2,7,3.2,0.22,15.6,50.4,34
B-3,74.4,7.7,2.3,0,4.8,49.5,45.7
B-4,48.4,6.9,3,-0.07,17.1,48,34.9
B-5,32.5,6.5,2.1,0.19,10.6,69.8,19.6
C-1,88.1,7.6,2.7,-0.07,7.4,45.6,46.9
C-2,69.3,8,2.7,-0.04,4,44.9,51.1
C-3,49.5,7.7,2.6,0.15,4.8,54.2,41
C-4,78.5,7.9,2.7,0.13,4.5,48.5,47
C-5,11.7,NA,NA,NA,NA,NA,NA
D-1,87.7,7.7,2.5,0.04,6.7,47.3,45.9
D-2,103.7,8,2.5,0,2,47.8,50.2
D-3,25.8,NA,NA,NA,NA,NA,NA
D-4,62.4,7.6,2.5,0.04,6.9,49.7,43.4
D-5,61.7,7.7,2.5,-0.08,6.7,46.9,46.4
E-1,47.1,7.3,2.8,0.07,9.5,53.5,37
E-2,90.4,7.6,2.4,-0.04,6,48.9,45.1
E-3,59.2,8.2,2.8,0.02,2.6,45.2,52.2
E-4,90.6,7.3,2.4,-0.04,6.3,53.8,38.9
E-5,97.7,7.8,2.3,-0.08,2.5,48,49.5
F-1,26.8,7,2.5,0.08,10.8,52.7,36.5
F-2,24.4,NA,NA,NA,NA,NA,NA
F-3,82.9,7.3,2.3,0.08,6.6,52.1,41.3
F-4,24.4,3.9,1.4,0.45,70.4,29,0.6
F-5,25.8,6.5,2.9,0.24,17.4,53.6,29
G-1,37.8,6.4,2.8,0.17,18.4,50.7,30.9
G-2,36.9,7.9,2.4,0.04,4.6,47.4,48
G-3,18,4.3,1.7,0,43.1,55.3,1.6
H-1,15.7,3.5,1.5,0.23,70,26.5,3.5
H-2,22.1,5.9,3.2,-0.03,31.7,41.5,26.8
I-1,3.8,NA,NA,NA,NA,NA,NA
I-2,20.7,6.6,2.5,0.04,15.5,54.4,30.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,7,,,,
